"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.778766155E0,1.884048700E0,8.784051895E0,1.017574632E1
0.000000000E0,-4.824229717E0,1.855334878E0,8.616254807E0,1.004765180E1
4.079360000E-4,-4.888835907E0,1.836192250E0,8.429615021E0,9.916185149E0
2.932624000E-3,-4.929513931E0,1.852941990E0,8.278866768E0,9.811887513E0
5.457468000E-3,-4.951049328E0,1.869691849E0,8.134998322E0,9.704990198E0
7.982259000E-3,-4.972584724E0,1.924726725E0,8.036892891E0,9.644833806E0
1.050699900E-2,-4.958227634E0,1.972882271E0,7.953144073E0,9.577514625E0
1.303158200E-2,-4.893621445E0,2.003988981E0,7.905287743E0,9.510892544E0
1.555616600E-2,-4.838586330E0,2.035095692E0,7.907680511E0,9.491308826E0
1.808064500E-2,-4.781158924E0,2.044667006E0,7.965108395E0,9.512260276E0
2.060517600E-2,-4.711467743E0,2.044667006E0,8.036892891E0,9.537831976E0
2.312970700E-2,-4.646861553E0,2.037488461E0,8.108677864E0,9.565319557E0
2.565423800E-2,-4.610969067E0,1.989632010E0,8.195118904E0,9.611433042E0
2.817877000E-2,-4.548755646E0,1.943869352E0,8.307580948E0,9.668800711E0
3.070330100E-2,-4.546362877E0,1.924726725E0,8.221439362E0,9.589893302E0
3.322783200E-2,-4.536791801E0,1.886441588E0,8.211868286E0,9.569530943E0
3.575236300E-2,-4.524827480E0,1.848156333E0,8.159226418E0,9.511189268E0
3.827689500E-2,-4.491328239E0,1.833799481E0,8.197511673E0,9.525442117E0
4.080142600E-2,-4.453042984E0,1.860120535E0,8.132605553E0,9.456686169E0
4.332595700E-2,-4.424329281E0,1.903191328E0,8.075178146E0,9.402410803E0
4.585048800E-2,-4.407579422E0,1.960619092E0,8.017750740E0,9.357088784E0
4.837502000E-2,-4.398007870E0,2.030309916E0,7.953144073E0,9.312203404E0
5.089955100E-2,-4.323830605E0,1.996810555E0,7.862216949E0,9.192236880E0
5.342408200E-2,-4.043570995E0,1.807478428E0,7.831110477E0,8.996873678E0
5.594861300E-2,-3.945465326E0,1.709372640E0,7.895716667E0,8.990605828E0
5.847314500E-2,-4.055535316E0,1.709372640E0,8.142476082E0,9.255767838E0
6.099767600E-2,-4.196712017E0,1.730908036E0,8.376973152E0,9.527964818E0
6.352220700E-2,-4.476971149E0,1.884048700E0,8.475078583E0,9.768309330E0
6.604673800E-2,-4.891228676E0,2.147558212E0,8.470293045E0,1.001408950E1
6.857127000E-2,-5.106582642E0,2.331805706E0,8.312366486E0,1.003045067E1
7.109580100E-2,-5.037190914E0,2.355733871E0,8.096714020E0,9.822400536E0
7.362033200E-2,-4.943870544E0,2.341377020E0,7.910073280E0,9.617336513E0
7.614486300E-2,-4.869693279E0,2.327019930E0,7.902894974E0,9.569988681E0
7.866939500E-2,-4.795515537E0,2.281556368E0,8.056035995E0,9.648947336E0
8.119392600E-2,-4.718646049E0,2.195414782E0,8.281260490E0,9.780835440E0
8.371845700E-2,-4.682754040E0,2.142772675E0,8.515756607E0,9.951772240E0
8.624298800E-2,-4.618147850E0,2.073380709E0,8.796015739E0,1.014869893E1
8.876752000E-2,-4.515256405E0,2.025524378E0,9.054440498E0,1.031858431E1
9.129205100E-2,-4.453042984E0,2.018345833E0,9.291629791E0,1.049941407E1
9.381658200E-2,-4.421936035E0,2.037488461E0,9.480662346E0,1.065775943E1
9.634111300E-2,-4.438685894E0,2.030309916E0,9.595518112E0,1.076559607E1
9.886564500E-2,-4.484149456E0,1.999203324E0,9.609874725E0,1.079139020E1
1.013901760E-1,-4.577469826E0,1.953440547E0,9.590732574E0,1.080515207E1
1.039147070E-1,-4.620540619E0,1.881655931E0,9.564411163E0,1.078739939E1
1.064392380E-1,-4.694717884E0,1.869691849E0,9.552447319E0,1.080672815E1
1.089637700E-1,-4.754538536E0,1.869691849E0,9.528518677E0,1.081175529E1
1.114883010E-1,-4.728217602E0,1.852941990E0,9.514162064E0,1.078465185E1
1.140128320E-1,-4.668396950E0,1.862513304E0,9.466305733E0,1.071792098E1
1.165373630E-1,-4.589433670E0,1.869691849E0,9.399306297E0,1.062570505E1
1.190618950E-1,-4.508078098E0,1.881655931E0,9.322735786E0,1.052505581E1
1.215864260E-1,-4.436293125E0,1.915155411E0,9.224330902E0,1.041329907E1
1.241109570E-1,-4.309473515E0,1.936690807E0,9.073583603E0,1.022996836E1
1.266354880E-1,-4.211368084E0,1.972882271E0,8.903693199E0,1.004508030E1
1.291600200E-1,-4.074677944E0,2.013560295E0,8.724231720E0,9.837156323E0
1.316845510E-1,-3.938287020E0,2.042274237E0,8.537292480E0,9.621140868E0
1.342090820E-1,-3.821038723E0,2.059023857E0,8.343473434E0,9.404970235E0
1.367336130E-1,-3.770789385E0,2.056631088E0,8.144868851E0,9.208011328E0
1.392581450E-1,-3.797110319E0,2.018345833E0,7.945965767E0,9.034939881E0
1.417826760E-1,-3.854538202E0,1.987239242E0,7.725826263E0,8.859739049E0
1.443072070E-1,-3.938287020E0,1.958226204E0,7.474280834E0,8.672348500E0
1.468317380E-1,-4.029214382E0,1.953440547E0,7.251748085E0,8.522813432E0
1.493562700E-1,-4.283152580E0,1.687837243E0,7.014858723E0,8.390615799E0
1.518808010E-1,-4.551148891E0,1.412662625E0,6.811169624E0,8.312677281E0
1.544053320E-1,-4.548755646E0,1.501197100E0,6.818347931E0,8.332744996E0
1.569298630E-1,-4.429114819E0,1.745265007E0,6.830312252E0,8.325633518E0
1.594543950E-1,-4.268795490E0,1.994417667E0,6.916453838E0,8.368850009E0
1.619789260E-1,-4.144069672E0,2.219342947E0,6.990631580E0,8.424234473E0
1.645034570E-1,-4.055535316E0,2.367697954E0,7.122535706E0,8.531346622E0
1.670279880E-1,-4.026821613E0,2.415554523E0,7.211070061E0,8.605215127E0
1.695525200E-1,-4.026821613E0,2.410768747E0,7.297211647E0,8.676197098E0
1.720770510E-1,-4.048357010E0,2.374876499E0,7.368996620E0,8.736781104E0
1.746015820E-1,-4.045963764E0,2.334198475E0,7.455138206E0,8.797578700E0
1.771261130E-1,-4.074677944E0,2.324627161E0,7.488637447E0,8.836661282E0
1.796506450E-1,-4.091427803E0,2.257628202E0,7.567600727E0,8.894113072E0
1.821751760E-1,-4.132105827E0,2.219342947E0,7.601399422E0,8.932024118E0
1.846997070E-1,-4.184747696E0,2.190629244E0,7.555636406E0,8.910589838E0
1.872242380E-1,-4.230510235E0,2.178664923E0,7.409674644E0,8.806081764E0
1.897487700E-1,-4.280759811E0,2.166700840E0,7.153642178E0,8.613599335E0
1.922733010E-1,-4.268795490E0,2.188236237E0,6.897311211E0,8.401422183E0
1.947978320E-1,-4.254438877E0,2.262413740E0,6.538387775E0,8.122147548E0
1.973223630E-1,-4.228117466E0,2.367697954E0,6.042774677E0,7.745843835E0
1.998468950E-1,-4.153641224E0,2.439482689E0,5.623731613E0,7.404739595E0
2.023714260E-1,-4.060320854E0,2.477767944E0,5.449055195E0,7.233100438E0
2.048959570E-1,-3.959822416E0,2.482553482E0,5.453841209E0,7.182454267E0
2.074204880E-1,-3.801896095E0,2.439482689E0,5.578267574E0,7.177921624E0
2.099450200E-1,-3.607778311E0,2.398804665E0,5.748157978E0,7.198030863E0
2.124695510E-1,-3.421138287E0,2.341377020E0,5.973382473E0,7.271006237E0
2.149940820E-1,-3.210569859E0,2.269592285E0,6.234200478E0,7.370485978E0
2.175186130E-1,-2.990130901E0,2.185843468E0,6.504888535E0,7.485477227E0
2.200431450E-1,-2.834597588E0,2.140379906E0,6.768098831E0,7.643515645E0
2.225676760E-1,-2.738884687E0,2.061416626E0,6.969096184E0,7.766545529E0
2.250922070E-1,-2.461018085E0,1.994417667E0,7.246962547E0,7.909031421E0
2.276167380E-1,-2.149951220E0,2.011167526E0,7.661220074E0,8.207397766E0
2.301412700E-1,-1.910369754E0,2.025524378E0,8.039285660E0,8.507783232E0
2.326658010E-1,-1.800299883E0,2.037488461E0,8.333902359E0,8.766205988E0
2.351903320E-1,-1.773978829E0,1.960619092E0,8.568398476E0,8.967077592E0
2.377148630E-1,-1.795514345E0,1.881655931E0,8.827122688E0,9.202314696E0
2.402393950E-1,-1.872084618E0,1.826620936E0,9.066405296E0,9.436151221E0
2.427639260E-1,-1.987239242E0,1.762014747E0,9.284450531E0,9.656854427E0
2.452884570E-1,-2.075773716E0,1.692622900E0,9.499805450E0,9.870162734E0
2.478129880E-1,-2.106880426E0,1.651944876E0,9.696016312E0,1.005885676E1
