"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.344715640E-1,-3.033201694E0,3.636492252E0,7.735397339E0,9.069771795E0
1.369955220E-1,-2.896811008E0,3.744468451E0,7.922037601E0,9.228826456E0
1.395194800E-1,-2.817847729E0,3.849752426E0,8.070392609E0,9.375078476E0
1.420434390E-1,-2.719742060E0,3.955036640E0,8.089534760E0,9.406374664E0
1.445673970E-1,-2.681456804E0,4.043570995E0,8.075178146E0,9.420678271E0
1.470913550E-1,-2.645564556E0,4.134498596E0,8.051250458E0,9.429513476E0
1.496153140E-1,-2.635993242E0,4.184747696E0,8.003393173E0,9.408234475E0
1.521392720E-1,-2.667099953E0,4.172783375E0,7.998608112E0,9.407617923E0
1.546632300E-1,-2.714956284E0,4.060320854E0,7.955537319E0,9.335296840E0
1.571871890E-1,-2.731706142E0,3.806681633E0,7.886145115E0,9.173021764E0
1.597111470E-1,-2.686242580E0,3.430709362E0,7.843074322E0,8.972150285E0
1.622351050E-1,-2.614457846E0,2.973381281E0,7.845467091E0,8.787931494E0
1.647590640E-1,-2.528316259E0,2.609672308E0,7.867002487E0,8.665592928E0
1.672830220E-1,-2.475374937E0,2.219342947E0,7.838288784E0,8.514207847E0
1.698069800E-1,-2.451446772E0,1.778764486E0,7.685148239E0,8.260453851E0
1.723309390E-1,-2.477767944E0,1.405484200E0,7.574779034E0,8.092712600E0
1.748548970E-1,-2.566601276E0,1.098903775E0,7.524529934E0,8.025807271E0
1.773788550E-1,-2.729313374E0,8.377870321E-1,7.603792191E0,8.122111442E0
1.799028140E-1,-2.939881802E0,6.272186637E-1,7.716254711E0,8.281116774E0
1.824267720E-1,-3.224926710E0,4.477569461E-1,7.816753387E0,8.467719415E0
1.849507300E-1,-3.540779352E0,3.017947674E-1,7.907680511E0,8.669464203E0
1.874746890E-1,-3.854538202E0,1.722832322E-1,8.020143509E0,8.899991470E0
1.899986470E-1,-4.211368084E0,9.332008660E-2,8.125427246E0,9.152425783E0
1.925226050E-1,-4.546362877E0,4.546362907E-2,8.219046593E0,9.392774310E0
1.950465640E-1,-4.857728958E0,-4.785645287E-3,8.278866768E0,9.598811827E0
1.975705220E-1,-5.101797104E0,-3.349951655E-2,8.333902359E0,9.771559980E0
2.000944800E-1,-5.321936607E0,-5.503492057E-2,8.434400558E0,9.973221690E0
2.026184390E-1,-5.501697540E0,-5.742774159E-2,8.577970505E0,1.019085628E1
2.051423970E-1,-5.554339409E0,-2.153540403E-2,8.690432549E0,1.031381442E1
2.076663550E-1,-5.520840168E0,4.785645381E-2,8.786444664E0,1.037706973E1
2.101903140E-1,-5.511268616E0,1.842473447E-1,8.886942863E0,1.045876581E1
2.127142720E-1,-5.408377171E0,3.185445070E-1,9.008976936E0,1.051254868E1
2.152382300E-1,-5.257330418E0,4.668995142E-1,9.097511292E0,1.051771030E1
2.177621890E-1,-4.951049328E0,5.243272781E-1,9.023334503E0,1.030574471E1
2.202861470E-1,-3.873680830E0,-1.196411327E-1,7.388139248E0,8.342920275E0
2.228101050E-1,-3.485744476E0,-4.785645287E-3,6.892525673E0,7.723816907E0
2.253340640E-1,-3.658326626E0,4.118646085E-1,7.622934818E0,8.465348274E0
2.278580220E-1,-4.086641788E0,8.907282352E-1,9.001798630E0,9.926047374E0
2.303819800E-1,-4.532006264E0,1.297508121E0,1.052692413E1,1.153424206E1
2.329059390E-1,-4.620540619E0,1.568196177E0,1.133360481E1,1.233933681E1
2.354298970E-1,-4.211368084E0,1.807478428E0,1.146042442E1,1.234276822E1
2.379538550E-1,-3.485744476E0,2.027917147E0,1.125703430E1,1.195757851E1
2.404778140E-1,-2.786741018E0,2.133201361E0,1.105603695E1,1.159967355E1
2.430017720E-1,-2.252842426E0,2.070987940E0,1.096271706E1,1.138180369E1
2.455257300E-1,-1.884048700E0,1.872084618E0,1.103210926E1,1.134732458E1
2.480496890E-1,-1.637588024E0,1.568196177E0,1.119960594E1,1.142681526E1
2.505736470E-1,-1.517946839E0,1.249651670E0,1.137906837E1,1.154768327E1
2.530976050E-1,-1.443769336E0,9.625129104E-1,1.146999550E1,1.160050420E1
2.556215640E-1,-1.402792215E0,7.325028181E-1,1.147478104E1,1.158339269E1
2.581455220E-1,-1.362114310E0,5.291129351E-1,1.142931747E1,1.152235279E1
2.606694800E-1,-1.359721422E0,3.640081584E-1,1.140299606E1,1.148954584E1
2.631934390E-1,-1.424626827E0,2.153540403E-1,1.144128132E1,1.153164590E1
2.657173970E-1,-1.616052628E0,9.092725813E-2,1.148435211E1,1.159785486E1
2.682413550E-1,-1.963011861E0,-2.871387079E-2,1.156361485E1,1.172908472E1
2.707653140E-1,-2.233700037E0,-1.028913707E-1,1.146281719E1,1.167887753E1
2.732892720E-1,-2.446661234E0,-1.459621787E-1,1.122114182E1,1.148570763E1
2.758132300E-1,-2.600100994E0,-1.986042857E-1,1.092413235E1,1.123105678E1
2.783371890E-1,-2.765205622E0,-2.440679073E-1,1.063460159E1,1.099093637E1
2.808611470E-1,-2.968595505E0,-3.209373355E-1,1.036151981E1,1.078316525E1
2.833851050E-1,-3.157927752E0,-3.927220106E-1,1.007677460E1,1.056731397E1
2.859090640E-1,-3.311068296E0,-5.075774789E-1,9.782157898E0,1.033979793E1
2.884330220E-1,-3.684647799E0,-6.487540603E-1,9.736694336E0,1.043075874E1
2.909569800E-1,-4.158426762E0,-8.210372925E-1,9.885348320E0,1.075577644E1
2.934809390E-1,-4.599005222E0,-1.005583763E0,1.002652550E1,1.107669902E1
2.960048970E-1,-4.948656559E0,-1.232901812E0,1.007916737E1,1.129596669E1
